"BRAND_NAME","MEDIA_TYPE_NAME","Sum","Date"
"ELAGOLIX","Classification Pending",1443708419.28571,2019-07-01
"HUMIRA","Classification Pending",38257.8571428,2018-09-01
"HUMIRA","Classification Pending",315621393.428572,2018-10-01
"HUMIRA","Classification Pending",404449561.428572,2018-11-01
"HUMIRA","Classification Pending",569472611.428572,2018-12-01
"HUMIRA","Classification Pending",1080982369.42857,2019-01-01
"HUMIRA","Classification Pending",1888501585.42857,2019-02-01
"HUMIRA","Classification Pending",2818158319.42857,2019-03-01
"HUMIRA","Classification Pending",3572824087.42857,2019-04-01
"HUMIRA","Classification Pending",8460309518.85714,2019-05-01
"HUMIRA","Classification Pending",5057553125.71428,2019-06-01
"HUMIRA","Classification Pending",5692808516,2019-07-01
"LUPRON DEPOT","Classification Pending",504242,2019-05-01
"LUPRON DEPOT","Classification Pending",607318,2019-06-01
"LUPRON DEPOT","Classification Pending",3821614,2019-07-01
"MAVYRET","Classification Pending",85484618.7142862,2018-10-01
"MAVYRET","Classification Pending",99070596.7142862,2018-11-01
"MAVYRET","Classification Pending",199730204.714286,2018-12-01
"MAVYRET","Classification Pending",303788836.714286,2019-01-01
"MAVYRET","Classification Pending",419799224.714286,2019-02-01
"MAVYRET","Classification Pending",569344180.714286,2019-03-01
"MAVYRET","Classification Pending",733587876.714286,2019-04-01
"MAVYRET","Classification Pending",1777656457.42857,2019-05-01
"MAVYRET","Classification Pending",1090936438.71429,2019-06-01
"MAVYRET","Classification Pending",1245074264.71429,2019-07-01
"CREON","Companion Banner",189176,2018-09-01
"CREON","Companion Banner",253552,2018-10-01
"CREON","Companion Banner",293420,2018-11-01
"CREON","Companion Banner",305070,2018-12-01
"CREON","Companion Banner",305078,2019-01-01
"CREON","Companion Banner",305078,2019-02-01
"CREON","Companion Banner",305078,2019-03-01
"CREON","Companion Banner",305078,2019-04-01
"CREON","Companion Banner",610156,2019-05-01
"CREON","Companion Banner",305078,2019-06-01
"CREON","Companion Banner",305078,2019-07-01
"ELAGOLIX","Companion Banner",NA,2018-09-01
"ELAGOLIX","Companion Banner",NA,2018-10-01
"ELAGOLIX","Companion Banner",NA,2018-11-01
"ELAGOLIX","Companion Banner",NA,2018-12-01
"ELAGOLIX","Companion Banner",NA,2019-01-01
"ELAGOLIX","Companion Banner",NA,2019-02-01
"ELAGOLIX","Companion Banner",NA,2019-03-01
"ELAGOLIX","Companion Banner",NA,2019-04-01
"ELAGOLIX","Companion Banner",NA,2019-05-01
"ELAGOLIX","Companion Banner",NA,2019-06-01
"ELAGOLIX","Companion Banner",NA,2019-07-01
"HUMIRA","Companion Banner",6271491.1428486,2018-09-01
"HUMIRA","Companion Banner",8304777.1428486,2018-10-01
"HUMIRA","Companion Banner",10231677.1428486,2018-11-01
"HUMIRA","Companion Banner",12842229.1428486,2018-12-01
"HUMIRA","Companion Banner",12941251.1428486,2019-01-01
"HUMIRA","Companion Banner",12911712.2857047,2019-02-01
"HUMIRA","Companion Banner",12631691.1428486,2019-03-01
"HUMIRA","Companion Banner",12530506.2857096,2019-04-01
"HUMIRA","Companion Banner",24853349.7142676,2019-05-01
"HUMIRA","Companion Banner",12303593.1428446,2019-06-01
"HUMIRA","Companion Banner",12199409.4285609,2019-07-01
"CREON","Connected TV",4431696,2018-09-01
"CREON","Connected TV",4598890,2018-10-01
"CREON","Connected TV",4775734,2018-11-01
"CREON","Connected TV",4977660,2018-12-01
"CREON","Connected TV",4979520,2019-01-01
"CREON","Connected TV",4979520,2019-02-01
"CREON","Connected TV",4979520,2019-03-01
"CREON","Connected TV",4979520,2019-04-01
"CREON","Connected TV",9959040,2019-05-01
"CREON","Connected TV",4979520,2019-06-01
"CREON","Connected TV",4979520,2019-07-01
"ELAGOLIX","Connected TV",15338193.1428571,2018-09-01
"ELAGOLIX","Connected TV",17006595.1428571,2018-10-01
"ELAGOLIX","Connected TV",18424969.1428571,2018-11-01
"ELAGOLIX","Connected TV",20508341.1428571,2018-12-01
"ELAGOLIX","Connected TV",20694153.1428571,2019-01-01
"ELAGOLIX","Connected TV",20739413.1428571,2019-02-01
"ELAGOLIX","Connected TV",20786389.1428571,2019-03-01
"ELAGOLIX","Connected TV",20834933.1428571,2019-04-01
"ELAGOLIX","Connected TV",41745558.2857142,2019-05-01
"ELAGOLIX","Connected TV",20915081.1428571,2019-06-01
"ELAGOLIX","Connected TV",20952723.1428571,2019-07-01
"HUMIRA","Connected TV",163414229.571428,2018-09-01
"HUMIRA","Connected TV",176545849.571428,2018-10-01
"HUMIRA","Connected TV",201382129.571428,2018-11-01
"HUMIRA","Connected TV",244973577.571428,2018-12-01
"HUMIRA","Connected TV",248057891.571428,2019-01-01
"HUMIRA","Connected TV",251563929.571428,2019-02-01
"HUMIRA","Connected TV",255321109.571428,2019-03-01
"HUMIRA","Connected TV",258562181.571428,2019-04-01
"HUMIRA","Connected TV",523201843.142856,2019-05-01
"HUMIRA","Connected TV",265113859.571428,2019-06-01
"HUMIRA","Connected TV",268212093.571428,2019-07-01
"MAVYRET","Connected TV",873056,2019-03-01
"MAVYRET","Connected TV",1733132,2019-04-01
"MAVYRET","Connected TV",4979248,2019-05-01
"MAVYRET","Connected TV",3493408,2019-06-01
"MAVYRET","Connected TV",4330750,2019-07-01
"HUMIRA","Content Syndication",50751.7142894,2018-09-01
"HUMIRA","Content Syndication",57783.7142894,2018-10-01
"HUMIRA","Content Syndication",65839.7142894,2018-11-01
"HUMIRA","Content Syndication",74363.7142894,2018-12-01
"HUMIRA","Content Syndication",74527.7142894,2019-01-01
"HUMIRA","Content Syndication",74527.7142894,2019-02-01
"HUMIRA","Content Syndication",74527.7142894,2019-03-01
"HUMIRA","Content Syndication",74527.7142894,2019-04-01
"HUMIRA","Content Syndication",149055.4285788,2019-05-01
"HUMIRA","Content Syndication",74527.7142894,2019-06-01
"HUMIRA","Content Syndication",74527.7142894,2019-07-01
"CREON","Custom",17732488,2018-09-01
"CREON","Custom",17732488,2018-10-01
"CREON","Custom",17732488,2018-11-01
"CREON","Custom",17732488,2018-12-01
"CREON","Custom",17732488,2019-01-01
"CREON","Custom",17732488,2019-02-01
"CREON","Custom",17732488,2019-03-01
"CREON","Custom",17732488,2019-04-01
"CREON","Custom",35464976,2019-05-01
"CREON","Custom",17732488,2019-06-01
"CREON","Custom",17732488,2019-07-01
"HUMIRA","Custom",NA,2018-09-01
"HUMIRA","Custom",NA,2018-10-01
"HUMIRA","Custom",NA,2018-11-01
"HUMIRA","Custom",NA,2018-12-01
"HUMIRA","Custom",NA,2019-01-01
"HUMIRA","Custom",NA,2019-02-01
"HUMIRA","Custom",NA,2019-03-01
"HUMIRA","Custom",NA,2019-04-01
"HUMIRA","Custom",NA,2019-05-01
"HUMIRA","Custom",NA,2019-06-01
"HUMIRA","Custom",NA,2019-07-01
"HUMIRA","Email Blast",NA,2018-09-01
"HUMIRA","Email Blast",NA,2018-10-01
"HUMIRA","Email Blast",NA,2018-11-01
