"MEDIA_TYPE_NAME","Sum","percentage"
"Banner",9449742623.28543,80.2603503098273
"Classification Pending",988339982.285714,8.39435700692987
"FEP",746919274,6.34387675667293
"Partner Content Hub",376069936.85714,3.19410867326402
"Custom",212789856,1.8073072533059
