"MEDIA_TYPE_NAME","Sum","percentage"
"Site Package",28336259260.8572,56.8588252737297
"Classification Pending",13085777022.1428,26.2575911105106
"Video",5417933140,10.8714883964077
"Banner",1745184266.85717,3.5018428645155
"Social Post",1251013562,2.5102523548365
